question,answer,condition
How do you usually spend your free time?,"I usually prefer spending time by myself, such as reading a good book or watching movies quietly at home.",introverted
How do you usually plan your day?,"I like to plan my day in advance, including tasks, timings, and priorities, so that everything stays organized.",disciplined
When making decisions you usually:,I usually choose the safest and most reliable option after thinking about possible risks and outcomes.,calm_under_stress
How do you react when facing stress?,I try to face the problem immediately and look for a practical solution instead of delaying it.,calm_under_stress
How do you prefer learning new skills?,I prefer learning through clear step-by-step instructions so I can understand each stage without confusion.,disciplined
After a busy week you prefer:,"After a busy week, I usually prefer quiet time alone so I can relax, recharge, and enjoy some peace.",introverted
Which hobby interests you most?,"I am most interested in hobbies related to sports, exercise, or fitness activities that keep me active and healthy.",active
When facing a challenge you:,"When I face a challenge, I prefer to analyze the situation carefully before deciding on the best way forward.",disciplined
What motivates you the most?,"I am strongly motivated by achievement, personal growth, and the feeling of reaching my goals successfully.",disciplined
How would friends describe you?,"My friends would probably describe me as calm, thoughtful, and someone who thinks carefully before speaking or acting.",introverted
